TASKSET                                 Exhaustive(ms)      BB_k0(ms)           BB_k-1(ms)

non_scheduled_fourthtaskset001 	        1416                336                 334             
non_scheduled_fourthtaskset002 	        3706                1146                918             
non_scheduled_fourthtaskset003 	        5171                3873                3726            
non_scheduled_fourthtaskset004 	        345                 52                  61              
non_scheduled_fourthtaskset005 	        3162                55                  57              
non_scheduled_fourthtaskset006 	        144287              18238               15238           
non_scheduled_fourthtaskset007 	        79680               3780                3099            
non_scheduled_fourthtaskset008 	        83903               5038                4517            
non_scheduled_fourthtaskset009 	        72095               10041               8242            
non_scheduled_fourthtaskset010 	        988                 16                  13              
non_scheduled_fourthtaskset011 	        245                 14                  18              
non_scheduled_fourthtaskset012 	        85                  36                  32              
non_scheduled_fourthtaskset013 	        2232834             98408               77231           
non_scheduled_fourthtaskset014 	        3923597             1397124             1118551       
non_scheduled_fourthtaskset015 	        27831               850                 722             
non_scheduled_fourthtaskset016 	        117                 18                  17              
non_scheduled_fourthtaskset017 	        3712727             9161                7709            
non_scheduled_fourthtaskset018 	        8612                647                 596             
non_scheduled_fourthtaskset019 	        18                  7                   7               
non_scheduled_fourthtaskset020 	        17462               575                 531             
non_scheduled_fourthtaskset021 	        3393915             13364               12082           
non_scheduled_fourthtaskset022 	        332432              393                 369             
non_scheduled_fourthtaskset023 	        10                  7                   7               
non_scheduled_fourthtaskset024 	        6672                775                 716             
non_scheduled_fourthtaskset025 	        4321                419                 422             
non_scheduled_fourthtaskset026 	        11                  7                   8               
non_scheduled_fourthtaskset027 	        14915               695                 630             
non_scheduled_fourthtaskset028 	        10184               820                 714             
non_scheduled_fourthtaskset029 	        29276               90                  81              
non_scheduled_fourthtaskset030 	        758                 45                  49              
non_scheduled_fourthtaskset031 	        313                 38                  39              
non_scheduled_fourthtaskset032 	        6288                1375                1314            
non_scheduled_fourthtaskset033          1477                318                 329 
non_scheduled_fourthtaskset034 	        2                   6                   6       
non_scheduled_fourthtaskset035 	        7                   9                   8           
non_scheduled_fourthtaskset036 	        1987                3333                2591         
non_scheduled_fourthtaskset037 	        59255               19171               15550        
non_scheduled_fourthtaskset038 	        11886               587                 516 
non_scheduled_fourthtaskset039          3679                914                 1137 
non_scheduled_fourthtaskset040 	        52797               1147                927 
non_scheduled_fourthtaskset041          5220                3722                3871 
non_scheduled_fourthtaskset042 	        9767                7072                6260      
non_scheduled_fourthtaskset043 	        373090              8016                7010             
non_scheduled_fourthtaskset044 	        176                 40                  34   
non_scheduled_fourthtaskset045 	        28968               7476                7325 
non_scheduled_fourthtaskset046          348                 49                  60 
non_scheduled_fourthtaskset047 	        617625              29068               22221                
non_scheduled_fourthtaskset048 	        5                   7                   7                    
non_scheduled_fourthtaskset049 	        1465                64                  67                   
non_scheduled_fourthtaskset050 	        405                 56                  56        
non_scheduled_fourthtaskset051 	        95                  14                  15              
non_scheduled_fourthtaskset052 	        3844217             155951              124683        
non_scheduled_fourthtaskset053 	        498                 43                  46              
non_scheduled_fourthtaskset054          3233                55                  56       
non_scheduled_fourthtaskset055 	        18                  8                   8        
non_scheduled_fourthtaskset056 	        18                  11                  12       
non_scheduled_fourthtaskset057 	        1513                67                  81       
non_scheduled_fourthtaskset058 	        1528287             329                 278              
non_scheduled_fourthtaskset059 	        17                  7                   7                
non_scheduled_fourthtaskset060 	        700                 16                  13  
non_scheduled_fourthtaskset061          147016              15176               18339 
non_scheduled_fourthtaskset062 	        85312               37714               32378          
non_scheduled_fourthtaskset063 	        6056                64                  67                
non_scheduled_fourthtaskset064 	        1569                298                 310             
non_scheduled_fourthtaskset065 	        72940               395                 351           
non_scheduled_fourthtaskset066 	        5379                826                 732 
non_scheduled_fourthtaskset067          80064               3090                3825 
non_scheduled_fourthtaskset068 	        132                 6                   7             
non_scheduled_fourthtaskset069 	        5                   5                   6              
non_scheduled_fourthtaskset070 	        1483                463                 411            
non_scheduled_fourthtaskset071 	        59771               717                 663 
non_scheduled_fourthtaskset072 	        2350346             319                 274 
non_scheduled_fourthtaskset073          83238               4528                5027 
non_scheduled_fourthtaskset074 	        39                  8                   10                 
non_scheduled_fourthtaskset075 	        5129                94                  82                 
non_scheduled_fourthtaskset076 	        115                 14                  14                 
non_scheduled_fourthtaskset077 	        732                 44                  45                 
non_scheduled_fourthtaskset078 	        48045               5775                5348   
non_scheduled_fourthtaskset079 	        142                 45                  37              
non_scheduled_fourthtaskset080 	        39428               11833               9021            
non_scheduled_fourthtaskset081 	        437                 703                 725             
non_scheduled_fourthtaskset082 	        444979              8353                7367            
non_scheduled_fourthtaskset083 	        6582                503                 469             
non_scheduled_fourthtaskset084 	        38                  11                  11              
non_scheduled_fourthtaskset085 	        833025              912202              720830                 
non_scheduled_fourthtaskset086 	        1561                7                   4                        
non_scheduled_fourthtaskset087 	        2580                665                 589                      
non_scheduled_fourthtaskset088 	        747                 60                  58                       
non_scheduled_fourthtaskset089 	        627                 50                  54              
non_scheduled_fourthtaskset090          72825               8254                10023          
non_scheduled_fourthtaskset091 	        24893               659                 601             
non_scheduled_fourthtaskset092 	        2555                706                 720 
non_scheduled_fourthtaskset093 	        80093               86106               74612 
non_scheduled_fourthtaskset094 	        732                 40                  41    
non_scheduled_fourthtaskset095 	        4361                150                 120   
non_scheduled_fourthtaskset096 	        1691                562                 484   
non_scheduled_fourthtaskset097 	        7927                18766               16492 
non_scheduled_fourthtaskset098          990                 17                  17 
non_scheduled_fourthtaskset099 	        772540              135484              121278        
non_scheduled_fourthtaskset100 	        32592               627                 591             
                                                                   
                                                                                       
