Taskset            Exhaustive(ms)     MIP-BB_K=-1(ms)              MIP-BB_K0(ms)        MIP-BB_K10(ms)     MIP-BB_K100(ms)     MIP-BB_K1000(ms)

Taskset01            15                   6                         11                    11                   20                    12          
Taskset02            19                   13                        21                    21                   25                    24          
Taskset03            10                   5                         9                     11                   15                    14          
Taskset04            10                   5                         7                     9                    11                    9           
Taskset05            17                   9                         11                    12                   22                    22          
Taskset06            328                  6269                      18                    69                   3085                  6483        
Taskset07            31                   12                        10                    12                   16                    16          
Taskset08            34                   239                       415                   1048425              138                   415         
Taskset09            46                   28                        20                    96                   25                    22          
Taskset10            7                    6                         7                     8                    6                     9           
Taskset11            8                    10                        11                    16                   18                    21          
Taskset12            30                   308                       18                    15                   180                   215         
Taskset13            1458                 250                       20                    29                   181                   243         
Taskset14            19                   18                        23                    18                   29                    54          
Taskset15            12                   10                        10                    7                    13                    12          
Taskset16            16                   13                        7                     8                    11                    12          
Taskset17            15                   15                        11                    8                    14                    14          
Taskset18            11                   10                        9                     10                   13                    15          
Taskset19            6                    6                         9                     7                    7                     7           
Taskset20            13                   11                        7                     17                   23                    25          
Taskset21            9                    6                         12                    7                    7                     4           
Taskset22            18                   21                        9                     17                   21                    15          
Taskset23            8                    7                         7                     11                   5                     7           
Taskset24            16                   10                        11                    12                   19                    15          
Taskset25            19                   13                        13                    15                   28                    57          
Taskset26            738                  408                       12                    71                   1095                  1026        
Taskset27            254                  23                        8                     18                   21                    23          
Taskset28            1955743              1544595                   162                   37                   125535                583813      
Taskset29            11                   7                         7                     8                    9                     8           
Taskset30            7                    8                         7                     8                    9                     11          
Taskset31            21                   26                        25                    72                   22                    18          
Taskset32            10                   8                         8                     9                    11                    12          
Taskset33            9                    9                         9                     11                   16                    15          
Taskset34            9                    9                         9                     10                   10                    9           
Taskset35            10                   7                         8                     8                    14                    12          
Taskset36            22                   47                        26                    14                   48                    63          
Taskset37            6                    7                         7                     5                    8                     9           
Taskset38            17                   25                        18                    23                   36                    35          
Taskset39            20                   23                        21                    20                   28                    46          
Taskset40            16                   15                        13                    10                   18                    15          
Taskset41            14                   9                         9                     9                    11                    12          
Taskset42            243                  28                        15                    17                   40                    46          
Taskset43            11                   17                        12                    19                   16                    16          
Taskset44            12                   10                        9                     9                    15                    13          
Taskset45            19                   12                        15                    18                   23                    50          
Taskset46            9                    10                        13                    9                    8                     9           
Taskset47            15                   10                        9                     13                   18                    19          
Taskset48            10                   9                         8                     11                   11                    10          
Taskset49            27                   37                        13                    24                   22                    31          
Taskset50            15                   6                         9                     10                   15                    14          
Taskset51            7                    7                         7                     8                    10                    7           
Taskset52            10                   11                        14                    13                   31                    28          
Taskset53            376                  282                       9                     366                  864                   855         
Taskset54            13                   5                         10                    15                   17                    21          
Taskset55            20                   12                        16                    7                    18                    21          
Taskset56            14                   12                        10                    11                   20                    25          
Taskset57            12                   24                        10                    13                   27                    20          
Taskset58            18                   19                        16                    19                   35                    24          
Taskset59            6                    7                         6                     7                    4                     7           
Taskset60            11                   8                         10                    10                   12                    8           
Taskset61            25                   54                        26                    35                   113                   43          
Taskset62            22                   43                        33                    25                   37                    50          
Taskset63            10                   9                         9                     9                    12                    12          
Taskset64            9                    10                        9                     13                   13                    12          
Taskset65            24                   17                        23                    24                   30                    77          
Taskset66            11                   7                         8                     8                    9                     9           
Taskset67            11                   8                         8                     8                    13                    13          
Taskset68            20                   26                        21                    22                   22                    27          
Taskset69            6                    7                         7                     11                   8                     6           
Taskset70            13                   13                        16                    18                   34                    53          
Taskset71            9                    9                         9                     10                   16                    14          
Taskset72            10                   9                         10                    11                   16                    14          
Taskset73            22                   31                        25                    24                   27                    31          
Taskset74            9                    11                        11                    9                    14                    14          
Taskset75            1061                 27                        23                    18                   31                    33          
Taskset76            18                   23                        17                    18                   31                    32          
Taskset77            10                   8                         6                     5                    11                    11          
Taskset78            11                   11                        6                     8                    16                    15          
Taskset79            12                   12                        6                     10                   17                    16          
Taskset80            13                   10                        9                     6                    9                     9           
Taskset81            9                    8                         8                     12                   6                     13          
Taskset82            7                    5                         7                     8                    10                    9           
Taskset83            9                    8                         8                     9                    9                     10          
Taskset84            6                    7                         7                     6                    6                     4           
Taskset85            21                   41                        25                    331                  31                    83          
Taskset86            12                   6                         11                    14                   10                    15          
Taskset87            8                    7                         9                     11                   9                     13          
Taskset88            24                   28                        20                    31                   36                    77          
Taskset89            14                   9                         10                    6                    16                    16          
Taskset90            24                   29                        50                    33                   47                    189         
Taskset91            15                   13                        7                     11                   19                    17          
Taskset92            40                   98                        24                    39                   59                    58          
Taskset93            19                   14                        17                    18                   17                    14          
Taskset94            11                   9                         8                     9                    9                     9           
Taskset95            23                   36                        24                    31                   29                    31          
Taskset96            10                   7                         9                     7                    11                    16          
Taskset97            92                   3265                      25                    105                  94                    1633        
Taskset98            2566                 4560                      381                   154                  2100                  2087        
Taskset99            7                    11                        11                    8                    16                    18          
Taskset100           10                   14                        20                    11                   23                    27          

