Taskset             K-1                 K0                  K10                 K100                K1000 
                                                                                                          
Taskset01           8                   8                   21                  141                 149   
Taskset02           32                  19                  31                  163                 173   
Taskset03           7                   7                   17                  94                  94    
Taskset04           6                   6                   12                  55                  55    
Taskset05           8                   8                   16                  134                 162   
Taskset06           104051              11                  278                 39243               93926 
Taskset07           20                  8                   14                  68                  68    
Taskset08           1795                31                  977935              623                 2025  
Taskset09           123                 11                  481                 180                 180   
Taskset10           4                   4                   8                   13                  13    
Taskset11           8                   8                   19                  136                 163   
Taskset12           5200                10                  26                  2741                3275  
Taskset13           3451                11                  107                 2254                3496  
Taskset14           11                  11                  22                  282                 634   
Taskset15           8                   8                   15                  67                  67    
Taskset16           24                  8                   14                  39                  39    
Taskset17           17                  9                   23                  31                  31    
Taskset18           12                  7                   21                  54                  54    
Taskset19           3                   3                   4                   4                   4     
Taskset20           8                   8                   17                  154                 190   
Taskset21           4                   4                   7                   10                  10    
Taskset22           72                  9                   26                  47                  47    
Taskset23           3                   3                   4                   4                   4     
Taskset24           8                   8                   18                  106                 109   
Taskset25           10                  10                  26                  156                 688   
Taskset26           7787                26                  612                 17509               16636 
Taskset27           54                  10                  33                  97                  97    
Taskset28           18549053            15                  29                  1067338             57718 
Taskset29           5                   5                   11                  22                  22    
Taskset30           5                   5                   10                  16                  16    
Taskset31           82                  34                  418                 95                  95    
Taskset32           6                   6                   19                  45                  45    
Taskset33           7                   7                   18                  92                  92    
Taskset34           13                  6                   16                  30                  30    
Taskset35           6                   6                   20                  48                  48    
Taskset36           621                 11                  32                  519                 1036  
Taskset37           5                   5                   13                  15                  15    
Taskset38           107                 11                  39                  263                 291   
Taskset39           90                  14                  45                  294                 543   
Taskset40           41                  9                   15                  74                  74    
Taskset41           7                   7                   13                  43                  43    
Taskset42           112                 10                  25                  346                 346   
Taskset43           72                  8                   80                  91                  91    
Taskset44           14                  7                   16                  61                  61    
Taskset45           10                  10                  20                  164                 633   
Taskset46           6                   6                   15                  16                  16    
Taskset47           8                   8                   19                  111                 171   
Taskset48           7                   7                   14                  80                  34    
Taskset49           268                 16                  34                  136                 323   
Taskset50           7                   7                   24                  84                  84    
Taskset51           4                   4                   8                   13                  13    
Taskset52           9                   9                   25                  228                 256   
Taskset53           4449                7                   3895                11196               11196 
Taskset54           8                   8                   17                  118                 145   
Taskset55           9                   9                   17                  156                 212   
Taskset56           8                   8                   11                  180                 208   
Taskset57           214                 8                   35                  118                 118   
Taskset58           41                  10                  28                  412                 290   
Taskset59           3                   3                   4                   4                   4     
Taskset60           6                   6                   7                   55                  55    
Taskset61           447                 14                  52                  1029                618   
Taskset62           351                 12                  41                  337                 589   
Taskset63           7                   7                   9                   40                  40    
Taskset64           7                   7                   22                  52                  52    
Taskset65           12                  12                  37                  222                 1279  
Taskset66           6                   6                   8                   22                  22    
Taskset67           6                   6                   10                  56                  56    
Taskset68           96                  11                  57                  159                 159   
Taskset69           4                   4                   9                   9                   9     
Taskset70           10                  10                  28                  246                 542   
Taskset71           7                   7                   15                  76                  76    
Taskset72           7                   7                   14                  59                  59    
Taskset73           128                 15                  53                  162                 162   
Taskset74           15                  8                   12                  56                  56    
Taskset75           310                 176                 51                  310                 310   
Taskset76           99                  15                  29                  225                 229   
Taskset77           6                   6                   13                  53                  53    
Taskset78           7                   7                   12                  101                 101   
Taskset79           7                   7                   15                  117                 117   
Taskset80           7                   7                   13                  20                  20    
Taskset81           6                   6                   15                  51                  51    
Taskset82           5                   5                   12                  18                  18    
Taskset83           6                   6                   13                  23                  23    
Taskset84           3                   3                   4                   4                   4     
Taskset85           523                 11                  2437                212                 1848  
Taskset86           8                   8                   16                  133                 135   
Taskset87           7                   7                   27                  66                  66    
Taskset88           150                 13                  37                  222                 747   
Taskset89           7                   7                   14                  112                 112   
Taskset90           14                  14                  56                  303                 2936  
Taskset91           39                  8                   24                  92                  92    
Taskset92           1457                11                  188                 650                 650   
Taskset93           12                  10                  53                  121                 183   
Taskset94           6                   6                   14                  41                  41    
Taskset95           163                 12                  62                  192                 192   
Taskset96           7                   7                   16                  58                  58    
Taskset97           55122               13                  206                 945                 27675 
Taskset98           65871               6550                1059                26224               26224 
Taskset99           8                   8                   16                  80                  114   
Taskset100          10                  10                  15                  168                 302   
